IssueDate,StartDate,EndDate,certificateNumber,fee,NPOName,LocName,LicenseClass,SubClass,Description,AddrStreet,AddrZip
11/01/2013,11/01/2013,11/02/2013,62699,$50.00,The Give Corps Foundation,FUNDRAISER/ FOOD TRUCK,LS,BWL,"Beer, Wine, & Liquor",1700 Whetstone Way,21230
11/04/2013,11/22/2013,11/23/2013,62701,$50.00,Caribbean American Cultural Association,PRE-THANKSGIVING DANCE,LS,BWL,"Beer, Wine, & Liquor",3125 W. BELVEDERE AVENUE,21215
11/27/2013,11/27/2013,11/28/2013,62750,$25.00,Mount Saint Joseph High School (Alumni Assoc),BEEF & BEER NIGHT,WS,BW,Beer & Wines,4403 FREDERICK AVENUE,21229
07/11/2014,07/18/2014,07/21/2014,63203,$150.00,"OYSTER RECOVERY PARTNERHSHIP, INC.",FUNDRAISER,LS,BWL,"Beer, Wine, & Liquor",1225 CATHEDRAL STREET,21201
07/15/2014,07/26/2014,07/27/2014,63208,$25.00,ARABBER PRESERVATION SOCIETY,Fundraiser,WS,BW,Beer & Wines,1310 RUSSELL STREET,21215
08/22/2014,08/23/2014,08/24/2014,63309,$50.00,There Goes My Hero Foundation,BONE MARROW DRIVE,LS,BWL,"Beer, Wine, & Liquor",1400-54 WARNER STREET,21230
08/22/2014,08/22/2014,08/23/2014,63308,$50.00,There Goes My Hero Foundation,BONE MARROW DRIVE,LS,BWL,"Beer, Wine, & Liquor",1400-54 WARNER STREET,21230
08/22/2014,08/23/2014,08/24/2014,63309,$50.00,There Goes My Hero Foundation,BONE MARROW DRIVE,LS,BWL,"Beer, Wine, & Liquor",1400-54 WARNER STREET,21230
02/02/2017,02/05/2017,02/06/2017,,,"BALTIMORE KICKERS, INC.",,WS,BW,Beer & Wines,400 E. LEXINGTON ST.,21202
08/22/2014,08/22/2014,08/23/2014,63308,$50.00,There Goes My Hero Foundation,BONE MARROW DRIVE,LS,BWL,"Beer, Wine, & Liquor",1400-54 WARNER STREET,21230
08/25/2014,09/16/2014,09/17/2014,63311,$25.00,DOWNTOWN PARTNERSHIP OF BALTIMORE,Dance Lessons,WS,BW,Beer & Wines,000 Pratt & Light Streets,21201
08/25/2014,09/02/2014,09/03/2014,63310,$25.00,DOWNTOWN PARTNERSHIP OF BALTIMORE,Dance Lessons,WS,BW,Beer & Wines,000 Pratt & Light Street,21201
08/26/2014,09/10/2014,09/11/2014,63312,$25.00,Zuriworks for Women's Health,Film Screening,WS,BW,Beer & Wines,2640 ST. PAUL STREET,21218
08/26/2014,10/25/2014,10/26/2014,63316,$50.00,"ARENA PLAYERS, INC.",Fundraiser,LS,BWL,"Beer, Wine, & Liquor",1310-20 RUSSELL STREET,21230
08/26/2014,09/05/2014,09/07/2014,63315,$100.00,"ARENA PLAYERS, INC.",Fundraiser,LS,BWL,"Beer, Wine, & Liquor",801 MCCULLOH STREET,21202
08/26/2014,08/30/2014,08/31/2014,63314,$50.00,"ARENA PLAYERS, INC.",Fundraiser,LS,BWL,"Beer, Wine, & Liquor",1310-20 RUSSELL STREET,21230
08/26/2014,10/25/2014,10/26/2014,63316,$50.00,"ARENA PLAYERS, INC.",Fundraiser,LS,BWL,"Beer, Wine, & Liquor",1310-20 RUSSELL STREET,21230
08/26/2014,09/27/2014,09/28/2014,63313,$50.00,"ARENA PLAYERS, INC.",Fundraiser,LS,BWL,"Beer, Wine, & Liquor",1310-20 RUSSELL STREET,21230
08/26/2014,09/05/2014,09/07/2014,63315,$100.00,"ARENA PLAYERS, INC.",Fundraiser,LS,BWL,"Beer, Wine, & Liquor",801 MCCULLOH STREET,21202
08/26/2014,08/30/2014,08/31/2014,63314,$50.00,"ARENA PLAYERS, INC.",Fundraiser,LS,BWL,"Beer, Wine, & Liquor",1310-20 RUSSELL STREET,21230
08/26/2014,09/27/2014,09/28/2014,63313,$50.00,"ARENA PLAYERS, INC.",Fundraiser,LS,BWL,"Beer, Wine, & Liquor",1310-20 RUSSELL STREET,21230
08/27/2014,08/29/2014,09/01/2014,63317,$75.00,"JAMAICAN ASSOCIATION OF MARYLAND, INC.",Fundraiser,WS,BW,Beer & Wines,4229 YORK ROAD,21218
01/07/2015,01/16/2015,01/19/2015,63616,$75.00,"JAMAICAN ASSOCIATION OF MARYLAND, INC.",Fundraiser,WS,BW,Beer & Wines,4229 YORK ROAD,21218
